code,name,latitude,longitude
NAD,Nagda Junction,23.4564536,75.4125729
UJN,Ujjain Railway Station,23.17837,75.78008
BCH,Berchha Railway Station,23.2836949,76.335527
SJP,Shujalpur Railway Station,23.3809667,76.7233144
SEH,Sehore Railway Station,23.21499,77.077804
SHRN,S Hirdaramnagar Railway Station,23.2740149,77.3336913
SKZR,Sirpur Kagaznagar Railway Station,19.4788046,79.5606859
BPA,Belampalli Railway Station,19.0536892,79.4863374
MCI,Mancherial Railway Station,18.8788622,79.4495159
GDR,Gudur Junction,14.1486521,79.8455678
PVR,Pandharpur Railway Station,17.6687,75.31919
KEM,Kem Railway Station,18.1768229,75.274675
JEUR,Jeur Railway Station,18.26077,75.16237
DD,Daund Junction,18.4639034,74.5792682
KDG,Kedgaon Railway Station,18.4820563,74.3766582
URI,Uruli Railway Station,18.4937579,74.1372684
CCH,Chinchvad Railway Station,18.638903,73.79139199999999
TGN,Talegaon Railway Station,18.7350668,73.6722213
BDTS,Mumbai Bandra Terminus Railway Station,19.0634794,72.8389661
BAU,Burhanpur Railway Station,21.3348443,76.199368
KNW,Khandwa Junction,21.8234927,76.3527879
MYR,Maihar Railway Station,24.2565614,80.7637041
MKP,Manikpur Junction,25.0632688,81.0940626
BSBS,Banaras Railway Station,25.3268557,82.9841344
RK,Roorkee Railway Station,29.8521991,77.875047
HW,Haridwar Junction,29.9483516,78.1554839
DDN,Dehradun Railway Station,30.3145051,78.0334601
DDR,Mumbai Dadar Western Railway Station,19.0191208,72.8417366
MSH,Mahesana Junction,23.6019898,72.3893575
PTN,Patan Railway Station,23.8536193,72.1312125
BLDI,Bhildi Railway Station,24.1944641,72.0094623
DQN,Dhanera Railway Station,24.503631,72.0325521
RNV,Raniwara Railway Station,24.7507026,72.2044385
MBNL,Marwar Bhinmal Railway Station,25.0009118,72.2756465
MON,Modran Railway Station,25.1869988,72.4470958
JOR,Jalor Railway Station,25.3543378,72.6341284
MKSR,Mokalsar Railway Station,25.6272481,72.5196134
SMR,Samdhari Junction,25.837202,72.57300699999999
JU,Jodhpur Railway Station,26.2837696,73.0226358
NGO,Nagaur Railway Station,27.2000329,73.7235488
BKN,Bikaner Junction,28.0145884,73.3160072
JJK,Jhinjhak Railway Station,26.5547138,79.7351558
SRO,Sirathu Railway Station,25.6488719,81.3201311
SRJ,Shankargarh Railway Station,25.180389,81.6136554
DBR,Dabhaura Railway Station,25.1178385,81.3028131
JTW,Jaitwar Railway Station,24.7407055,80.8637018
REWA,Rewa Railway Station,24.5377376,81.2514979
SDAH,Kolkata Sealdah Railway Station,22.6018382,88.3830655
BNXR,Bidhan Nagar Railway Station,22.5912344,88.3906191
