third_ac,arrival,from_station_code,name,zone,chair_car,first_class,sleeper,from_station_name,number,departure,return_train,to_station_code,second_ac,classes,to_station_name,type,first_ac,distance,duration
1,04:10:00,MAS,Chennai-Howrah SF Mail,SER,0,0,1,CHENNAI CENTRAL,12840,23:40:00,12841,HWH,1,,HOWRAH JN,SF,1,1662.0,28.5
1,03:45:00,MFP,MUZAFFARPUR - KOLKATA CHITPUR Tirhut Exp,ER,0,0,1,MUZAFFARPUR JN,13158,14:50:00,13157,KOAA,0,,KOLKATA CHITPUR,Exp,0,566.0,12.916666686534882
1,03:45:00,MAS,Chennai-Mumbai CST Mail,CR,0,0,1,CHENNAI CENTRAL,11028,22:50:00,11027,CSTM,1,,MUMBAI CST,Mail,0,1283.0,28.91666668653488
1,13:45:00,MAS,ChennaiCentral-CST Mumbai Express,CR,0,0,1,CHENNAI CENTRAL,11042,11:55:00,11041,CSTM,1,,MUMBAI CST,Exp,0,1283.0,25.83333331346512
0,13:00:00,MAS,CHENNAI CENT - MYSORE Shatabdi Express,SR,1,0,0,CHENNAI CENTRAL,12007,06:00:00,12008,MYS,0,,MYSORE JN,Shtb,1,500.0,7.0
1,11:05:00,MAS,CHENNAI CENTRAL - NAGERCOIL SF Exp,SR,0,0,1,CHENNAI CENTRAL,12689,18:15:00,12690,NCJ,0,,NAGERCOIL JN,SF,0,927.0,16.83333331346512
0,19:40:00,PUNE,Deccan Express,CR,1,0,0,PUNE JN,11008,15:30:00,11007,CSTM,0,,MUMBAI CST,Exp,0,192.0,4.16666667163372
1,19:40:00,PUNE,PUNE - HOWRAH AC Duronto Exp,SER,0,0,0,PUNE JN,12221,15:15:00,12222,HWH,1,,HOWRAH JN,Drnt,1,2020.0,28.41666665673256
1,08:05:00,ANVT,Seemanchal Express,NR,0,0,1,ANAND VIHAR TRM,12488,07:40:00,12487,JBN,1,,JOGBANI,SF,0,1383.0,24.41666665673256
1,05:40:00,SBC,Bangalore-Kacheguda SF Express,SCR,0,0,1,BANGALORE CITY JN,12786,18:20:00,12785,KCG,1,,KACHEGUDA,SF,1,625.0,11.33333334326744
1,08:55:00,KCG,Venkatadri SF Express,SCR,0,0,1,KACHEGUDA,12797,20:05:00,12798,CTO,1,,CHITTOOR,SF,1,707.0,12.833333313465118
1,06:20:00,CTO,Venkatadri SF Express,SCR,0,0,1,CHITTOOR,12798,17:30:00,12797,KCG,1,,KACHEGUDA,SF,1,707.0,12.833333313465118
1,12:05:00,JP,Jaipur-Mumbai Central AC Duronto Express,WR,0,0,0,JAIPUR,12240,19:15:00,12239,BCT,1,,Mumbai Central,Drnt,1,1159.0,16.83333331346512
1,14:30:00,JP,Jaipur - Mumbai Bandra (T.) (Triweekly) SF Express,NWR,0,0,1,JAIPUR,12980,20:40:00,12979,BDTS,1,,MUMBAI BANDRA TERMINUS,SF,1,1148.0,17.83333331346512
1,05:05:00,ERS,ERNAKULAM - PUNE Poorna Exp,CR,0,0,1,ERNAKULAM JN,11098,23:30:00,11097,PUNE,1,,PUNE JN,Exp,0,1435.0,29.58333331346512
1,08:05:00,DBG,DARBHANGA - PUNE Gyan Ganga Exp,CR,0,0,1,DARBHANGA JN,11034,17:00:00,11033,PUNE,1,,PUNE JN,Exp,0,1948.0,39.08333333581686
1,06:30:00,LTT,Mumbai LTT-Coimbatore Express,CR,0,0,1,LOKMANYA TILAK TERM,11013,22:35:00,11014,CBE,1,,COIMBATORE JN,Exp,1,1518.0,31.91666668653488
1,04:20:00,PUNE,PUNE - ERNAKULAM Poorna Exp,CR,0,0,1,PUNE JN,11097,23:10:00,11098,ERS,1,,ERNAKULAM JN,Exp,0,1435.0,29.16666667163372
1,04:00:00,DHN,DHANBAD - KOLHAPUR CSMT Deekshabhoomi Exp,CR,0,0,1,DHANBAD JN,11046,13:45:00,11045,KOP,0,,C SHAHU M RAJ KOLHAPUR TERM,Exp,0,2968.0,62.25
1,22:45:00,LTT,MUMBAI LTT - DARBHANGA Pawan Exp,CR,0,0,1,LOKMANYA TILAK TERM,11061,12:15:00,11062,DBG,1,,DARBHANGA JN,Exp,0,1791.0,34.5
0,22:30:00,BPL,Bhopal-New Delhi Shatabdi Express,NR,1,0,0,BHOPAL JN,12001,14:40:00,12002,NDLS,0,,NEW DELHI,Shtb,1,701.0,7.833333313465118
0,13:10:00,HWH,Howrah-Ranchi Shatabdi Express,ER,1,0,0,HOWRAH JN,12019,06:05:00,12020,RNC,0,,RANCHI,Shtb,1,423.0,7.08333333581686
0,23:10:00,JBP,JABALPUR - AMBIKAPUR Exp,WCR,0,0,0,JABALPUR,11265,14:15:00,11266,ABKP,0,,AMBIKAPUR,Exp,0,433.0,8.916666686534882
0,22:30:00,MAS,CHENNAI CENT - BANGALORE CITY Shatabdi Exp,SWR,1,0,0,CHENNAI CENTRAL,12027,17:30:00,12028,SBC,0,,BANGALORE CITY JN,Shtb,1,362.0,5.0
0,23:05:00,ASR,Amritsar-New Delhi Swarna Shatabdi Express,NR,1,0,0,AMRITSAR JN,12030,16:55:00,12031,NDLS,0,,NEW DELHI,Shtb,1,448.0,6.16666667163372
