third_ac,arrival,from_station_code,name,zone,chair_car,first_class,sleeper,from_station_name,number,departure,return_train,to_station_code,second_ac,classes,to_station_name,type,first_ac,distance,duration
1,13:00:00,KCVL,KOCHUVELI - BHAVNAGAR Exp,WR,0,0,1,KOCHUVELI,19259,15:15:00,19260,BVC,1,,BHAVNAGAR TERMINUS,Exp,0,2569.0,45.75
1,03:10:00,BVC,BHAVNAGAR - KOCHUVELI Exp,WR,0,0,1,BHAVNAGAR TERMINUS,19260,05:25:00,19259,KCVL,1,,KOCHUVELI,Exp,0,2569.0,45.75
1,18:10:00,PBR,Porbandar Muzaffarpur Express,WR,0,0,1,PORBANDAR,19269,15:05:00,19270,MFP,1,,MUZAFFARPUR JN,Exp,0,2470.0,51.08333333581686
1,17:25:00,MFP,Muzaffarpur-Porbandar Express,WR,0,0,1,MUZAFFARPUR JN,19270,15:00:00,19269,PBR,1,,PORBANDAR,Exp,0,2470.0,50.41666665673256
1,06:05:00,GNC,Shanti Express,WR,0,0,1,Gandhinagar Capital,19309,18:25:00,19310,INDB,1,,INDORE JN BG,Exp,0,571.0,11.666666686534882
1,10:00:00,INDB,Shanti Express,WR,0,0,1,INDORE JN BG,19310,22:45:00,19309,GNC,1,,Gandhinagar Capital,Exp,0,571.0,11.25
1,07:15:00,HTE,HATIA - PURI Tapaswini Exp,ECoR,0,0,1,HATIA,18451,16:05:00,18452,PURI,1,,PURI,Exp,1,691.0,15.16666667163372
1,07:00:00,UHP,Udhampur-Ahmedabad Janmabhoomi Express,WR,0,0,1,UDHAMPUR,19108,20:50:00,19107,ADI,1,,AHMEDABAD JN,Exp,1,1539.0,34.16666667163372
0,04:00:00,DBG,Sabarmati Express,WR,0,0,1,DARBHANGA JN,19166,04:35:00,19165,ADI,1,,AHMEDABAD JN,Exp,0,1944.0,47.41666665673256
0,10:55:00,INDB,Indore Habibganj InterCity Express,WR,1,0,0,INDORE JN BG,19323,06:55:00,19324,HBJ,0,,HABIBGANJ,Exp,0,224.0,4.0
0,19:00:00,OKHA,Uttaranchal Express,WR,0,0,1,OKHA,19565,07:40:00,19566,DDN,1,,DEHRADUN,Exp,0,1680.0,35.33333334326744
0,16:35:00,DDN,Uttranchal Express,WR,0,0,1,DEHRADUN,19566,06:00:00,19565,OKHA,1,,OKHA,Exp,0,1680.0,34.58333331346512
1,18:35:00,AII,Ajmer New Jalpaiguri Weekly Express,NWR,0,0,1,AJMER JN,19601,06:30:00,19602,NJP,1,,NEW JALPAIGURI,Exp,0,1936.0,36.08333333581686
