station,week,month,month_3,month_6,year,train_number,station_code
JALGAON JN (JL),50,43,56,58,44,12779,JL
BHUSAVAL JN (BSL),57,44,58,61,47,12779,BSL
KHANDWA (KNW),44,31,45,47,33,12779,KNW
HARDA (HD),55,41,59,60,45,12779,HD
ITARSI JN (ET),49,34,51,53,37,12779,ET
BHOPAL JN (BPL),52,37,57,61,49,12779,BPL
V LAKSHMIBAI JHANSI (VGLJ),57,57,57,57,57,12779,VGLJ
VIRANGANA LAKSHMIBAI (VGLB),66,58,83,85,65,12779,VGLB
GWALIOR (GWL),63,58,83,86,70,12779,GWL
AGRA CANTT (AGC),46,30,74,67,49,12779,AGC
MATHURA JN (MTJ),57,51,99,89,63,12779,MTJ
H NIZAMUDDIN (NZM),39,31,111,84,56,12779,NZM
H NIZAMUDDIN (NZM),2,6,23,21,18,12780,NZM
MATHURA JN (MTJ),26,32,47,43,33,12780,MTJ
AGRA CANTT (AGC),37,47,62,55,43,12780,AGC
GWALIOR (GWL),39,39,59,52,39,12780,GWL
V LAKSHMIBAI JHANSI (VGLJ),53,53,53,53,53,12780,VGLJ
VIRANGANA LAKSHMIBAI (VGLB),36,42,63,55,41,12780,VGLB
BHOPAL JN (BPL),29,36,64,54,37,12780,BPL
ITARSI JN (ET),36,41,68,59,43,12780,ET
HARDA (HD),43,46,71,62,47,12780,HD
KHANDWA (KNW),27,41,67,57,40,12780,KNW
BHUSAVAL JN (BSL),31,45,75,65,49,12780,BSL
JALGAON JN (JL),37,46,76,65,50,12780,JL
MANMAD JN (MMR),109,84,106,94,78,12780,MMR
KOPARGAON (KPG),113,77,104,89,70,12780,KPG
BELAPUR (BAP),175,105,121,101,78,12780,BAP
AHMADNAGAR (ANG),175,100,117,96,71,12780,ANG
DAUND CHORD LINE (DDCC),180,102,121,109,78,12780,DDCC
PUNE JN (PUNE),211,141,156,138,100,12780,PUNE
SATARA (STR),213,156,170,151,111,12780,STR
KARAD (KRD),226,167,179,159,116,12780,KRD
SANGLI (SLI),237,179,191,170,128,12780,SLI
MIRAJ JN (MRJ),199,143,158,135,94,12780,MRJ
KUDACHI (KUD),216,155,167,147,102,12780,KUD
RAYBAG (RBG),219,159,170,151,108,12780,RBG
GHATPRABHA (GPB),217,156,169,151,107,12780,GPB
BELAGAVI (BGM),229,169,153,150,118,12780,BGM
LONDA JN (LD),247,191,176,177,140,12780,LD
CASTLE ROCK (CLR),269,213,199,195,158,12780,CLR
KULEM (QLM),278,211,203,197,158,12780,QLM
SANVERDAM CHUCH (SVM),284,217,207,202,163,12780,SVM
MADGAON (MAO),277,205,195,186,149,12780,MAO
VASCO DA GAMA (VSG),257,182,180,169,121,12780,VSG
MYSORE JN (MYS),0,1,1,1,1,12781,MYS
HASSAN (HAS),8,11,10,9,11,12781,HAS
ARSIKERE JN (ASK),9,13,20,25,29,12781,ASK
BIRUR JN (RRB),7,19,20,25,28,12781,RRB
DAVANGERE (DVG),0,16,12,14,17,12781,DVG
HARIHAR (HRR),8,18,13,13,15,12781,HRR
RANIBENNUR (RNR),15,20,13,14,16,12781,RNR
HAVERI (HVR),17,21,15,16,18,12781,HVR
HUBBALLI JN (UBL),29,47,42,31,23,12781,UBL
DHARWAR (DWR),30,47,45,36,26,12781,DWR
BELAGAVI (BGM),60,81,77,71,55,12781,BGM
MIRAJ JN (MRJ),21,47,49,38,36,12781,MRJ
SANGLI (SLI),21,57,56,43,38,12781,SLI
KARAD (KRD),19,69,58,42,37,12781,KRD
SATARA (STR),22,90,72,50,42,12781,STR
PUNE JN (PUNE),8,81,70,45,42,12781,PUNE
DAUND CHORD LINE (DDCC),15,94,81,52,51,12781,DDCC
AHMADNAGAR (ANG),1,82,80,58,53,12781,ANG
BELAPUR (BAP),25,91,84,59,53,12781,BAP
KOPARGAON (KPG),31,108,102,67,60,12781,KPG
MANMAD JN (MMR),4,99,89,54,50,12781,MMR
BHUSAVAL JN (BSL),54,114,101,65,59,12781,BSL
KHANDWA (KNW),22,97,84,50,45,12781,KNW
ITARSI JN (ET),29,111,100,67,61,12781,ET
BHOPAL JN (BPL),10,111,104,71,61,12781,BPL
BINA JN (BINA),6,91,89,57,47,12781,BINA
VIRANGANA LAKSHMIBAI (VGLB),7,100,94,72,56,12781,VGLB
GWALIOR (GWL),81,137,127,103,87,12781,GWL
AGRA CANTT (AGC),87,106,109,79,61,12781,AGC
MATHURA JN (MTJ),96,147,135,97,71,12781,MTJ
H NIZAMUDDIN (NZM),88,121,103,66,45,12781,NZM
KACHEGUDA (KCG),4,6,6,6,7,12785,KCG
JADCHERLA (JCL),34,24,18,16,17,12785,JCL
MAHBUBNAGAR (MBNR),35,27,21,19,19,12785,MBNR
GADWAL (GWD),43,40,30,29,29,12785,GWD
KURNOOL TOWN (KRNT),37,36,28,26,28,12785,KRNT
DHONE (DHNE),43,37,25,22,20,12785,DHNE
GOOTY (GY),57,47,38,34,32,12785,GY
ANANTAPUR (ATP),62,53,43,39,37,12785,ATP
DHARMAVARAM JN (DMM),34,29,27,25,27,12785,DMM
