station,week,month,month_3,month_6,year,train_number,station_code
PT DEEN DAYAL UPADHYAY JN (DDU),2,6,9,8,9,12792,DDU
VARANASI JN (BSB),31,17,21,17,16,12792,BSB
BHULANPUR (BHLP),31,17,21,17,16,12792,BHLP
GYANPUR ROAD (GYN),34,21,27,21,19,12792,GYN
PRAYAGRAJ RAMBAGH (PRRB),77,34,33,25,21,12792,PRRB
PRAYAGRAJ JN (PRYJ),88,49,47,41,35,12792,PRYJ
SATNA (STA),97,50,55,56,49,12792,STA
MAIHAR (MYR),109,65,65,66,52,12792,MYR
KATNI (KTE),112,67,71,71,60,12792,KTE
JABALPUR (JBP),118,72,74,72,63,12792,JBP
ITARSI JN (ET),90,49,56,57,50,12792,ET
GHORADONGRI (GDYA),106,56,62,65,59,12792,GDYA
BETUL (BZU),113,69,74,77,71,12792,BZU
NAGPUR (NGP),81,53,62,60,56,12792,NGP
SEVAGRAM (SEGM),99,73,84,78,73,12792,SEGM
CHANDRAPUR (CD),125,94,93,89,83,12792,CD
BALHARSHAH (BPQ),74,50,57,49,41,12792,BPQ
SIRPUR KAGAZNGR (SKZR),94,68,76,64,54,12792,SKZR
BELAMPALLI (BPA),99,76,84,74,63,12792,BPA
MANCHIRYAL (MCI),102,80,88,79,68,12792,MCI
RAMGUNDAM (RDM),104,84,91,84,72,12792,RDM
PEDDAPALLI (PDPL),117,92,100,92,83,12792,PDPL
KAZIPET JN (KZJ),119,95,105,101,93,12792,KZJ
SECUNDERABAD JN (SC),244,80,80,61,47,12792,SC
KACHEGUDA (KCG),3,4,4,4,6,12797,KCG
UMDANAGAR (UR),15,10,8,8,10,12797,UR
SHADNAGAR (SHNR),25,20,16,14,16,12797,SHNR
JADCHERLA (JCL),28,23,19,18,18,12797,JCL
MAHBUBNAGAR (MBNR),28,26,21,19,23,12797,MBNR
WANPARTI ROAD (WPR),44,46,36,34,36,12797,WPR
GADWAL (GWD),46,52,42,39,41,12797,GWD
KURNOOL TOWN (KRNT),43,49,40,37,40,12797,KRNT
DHONE (DHNE),36,40,30,25,26,12797,DHNE
GOOTY (GY),36,34,27,23,26,12797,GY
TADIPATRI (TU),42,38,35,32,31,12797,TU
MUDDANURU (MOO),53,48,37,33,36,12797,MOO
YERRAGUNTLA (YA),55,51,39,35,38,12797,YA
KAMALAPURAM (KKM),58,54,42,38,40,12797,KKM
CUDDAPAH (HX),54,49,39,36,37,12797,HX
RAZAMPETA (RJP),40,38,29,27,35,12797,RJP
KODURU (KOU),46,42,34,32,36,12797,KOU
RENIGUNTA JN (RU),40,39,35,34,31,12797,RU
TIRUPATI (TPTY),46,47,42,40,36,12797,TPTY
PAKALA JN (PAK),132,70,52,50,44,12797,PAK
CHITTOOR (CTO),102,49,23,23,20,12797,CTO
CHITTOOR (CTO),5,4,5,5,7,12798,CTO
PAKALA JN (PAK),16,18,16,16,17,12798,PAK
TIRUPATI (TPTY),27,27,25,23,24,12798,TPTY
RENIGUNTA JN (RU),29,32,29,28,35,12798,RU
KODURU (KOU),35,39,35,34,37,12798,KOU
RAZAMPETA (RJP),42,39,34,33,36,12798,RJP
CUDDAPAH (HX),29,28,23,21,29,12798,HX
KAMALAPURAM (KKM),31,31,24,23,30,12798,KKM
YERRAGUNTLA (YA),39,40,36,31,35,12798,YA
MUDDANURU (MOO),41,44,40,35,39,12798,MOO
TADIPATRI (TU),42,41,39,37,41,12798,TU
GOOTY (GY),42,42,40,39,42,12798,GY
DHONE (DHNE),19,28,24,25,26,12798,DHNE
KURNOOL TOWN (KRNT),43,54,53,47,41,12798,KRNT
GADWAL (GWD),41,49,50,46,41,12798,GWD
WANPARTI ROAD (WPR),39,52,51,47,42,12798,WPR
MAHBUBNAGAR (MBNR),41,52,56,66,58,12798,MBNR
JADCHERLA (JCL),44,53,56,66,62,12798,JCL
SHADNAGAR (SHNR),49,55,56,65,72,12798,SHNR
UMDANAGAR (UR),35,35,38,49,57,12798,UR
KACHEGUDA (KCG),21,12,11,22,32,12798,KCG
PURI (PURI),1,1,17,11,11,12801,PURI
KHURDA ROAD JN (KUR),26,13,28,21,19,12801,KUR
BHUBANESWAR (BBS),34,18,33,24,22,12801,BBS
CUTTACK (CTC),31,16,33,24,23,12801,CTC
JAJPUR K ROAD (JJKR),35,19,39,31,30,12801,JJKR
BHADRAKH (BHC),24,8,29,22,17,12801,BHC
BALASORE (BLS),32,16,37,29,25,12801,BLS
HIJILLI (HIJ),27,14,33,23,18,12801,HIJ
GHATSILA (GTS),30,14,36,27,22,12801,GTS
TATANAGAR JN (TATA),21,8,24,17,17,12801,TATA
PURULIA JN (PRR),38,19,33,26,23,12801,PRR
BOKARO STL CITY (BKSC),25,9,25,17,16,12801,BKSC
CHANDRAPURA (CRP),22,7,22,15,15,12801,CRP
NSC BOSE J GOMO (GMO),28,13,28,19,19,12801,GMO
PARASNATH (PNME),34,18,33,23,23,12801,PNME
HAZARIBAGH RD (HZD),36,20,36,26,26,12801,HZD
KODERMA (KQR),41,26,42,32,32,12801,KQR
PAHARPUR (PRP),47,31,46,37,33,12801,PRP
GAYA JN (GAYA),17,5,23,15,16,12801,GAYA
ANUGRAHA N ROAD (AUBR),33,23,41,30,25,12801,AUBR
DEHRI ON SONE (DOS),36,28,47,41,32,12801,DOS
SASARAM (SSM),40,31,51,47,37,12801,SSM
BHABUA ROAD (BBU),38,31,52,50,43,12801,BBU
PT DEEN DAYAL UPADHYAY JN (DDU),17,8,26,26,19,12801,DDU
CHUNAR (CAR),57,33,43,40,31,12801,CAR
MIRZAPUR (MZP),72,47,54,49,40,12801,MZP
PRAYAGRAJ JN (PRYJ),112,93,101,103,82,12801,PRYJ
FATEHPUR (FTP),136,118,131,131,108,12801,FTP
KANPUR CENTRAL (CNB),142,116,130,131,106,12801,CNB
GHAZIABAD (GZB),137,94,121,119,89,12801,GZB
NEW DELHI (NDLS),130,92,131,139,103,12801,NDLS
NEW DELHI (NDLS),2,3,5,7,6,12802,NDLS
KANPUR CENTRAL (CNB),33,47,74,74,58,12802,CNB
FATEHPUR (FTP),53,57,94,89,68,12802,FTP
PRAYAGRAJ JN (PRYJ),46,46,100,89,57,12802,PRYJ
MIRZAPUR (MZP),68,65,127,113,77,12802,MZP
CHUNAR (CAR),79,73,137,125,87,12802,CAR
PT DEEN DAYAL UPADHYAY JN (DDU),91,75,125,108,66,12802,DDU
BHABUA ROAD (BBU),105,86,140,122,80,12802,BBU
